"job.type","LATITUDE","LONGITUDE","date"
"NB",40.827642,-73.863487,2022-05-12
"DM",40.676972,-73.922322,2022-05-12
"NB",40.848521,-73.897944,2023-01-24
"NB",40.765507,-73.922504,2022-05-12
"NB",40.868509,-73.92395,2022-05-12
"NB",40.679952,-73.877619,2022-05-12
"NB",40.765507,-73.922504,2022-05-12
"NB",40.754344,-73.821371,2024-09-13
"NB",40.870896,-73.891601,2022-05-12
"NB",40.870896,-73.891601,2022-05-12
"NB",40.870896,-73.891601,2022-05-12
"NB",40.505977,-74.225145,2022-05-12
"NB",40.780982,-73.84599,2022-05-12
"NB",40.819891,-73.930519,2022-05-12
"NB",40.839278,-73.881905,2021-11-12
"NB",40.798286,-73.962716,2022-05-12
"DM",40.825924,-73.918257,2022-05-12
"NB",40.677058,-73.878443,2022-06-03
"NB",40.868509,-73.92395,2022-05-12
"NB",40.695955,-73.926905,2022-05-12
"NB",40.717277,-73.987414,2022-05-13
"NB",40.735838,-73.746297,2024-09-13
"NB",40.673722,-73.88594,2022-08-08
"DM",40.864086,-73.918004,2022-05-13
"NB",40.771711,-73.924165,2022-05-13
"NB",40.796231,-73.945858,2022-05-13
"NB",40.84159,-73.8851,2022-05-13
"NB",40.595514,-73.994502,2022-05-13
"NB",40.84159,-73.8851,2022-05-13
"DM",40.829751,-73.876571,2022-05-13
"NB",40.828867,-73.91512,2022-05-13
"NB",40.828867,-73.91512,2022-05-13
"NB",40.828867,-73.91512,2022-05-13
"NB",40.673722,-73.88594,2022-08-08
"NB",40.715957,-73.956207,2022-05-13
"NB",40.855034,-73.883074,2022-05-13
"NB",40.855034,-73.883074,2022-05-13
"NB",40.855034,-73.883074,2022-05-13
"NB",40.715957,-73.956207,2022-05-13
"NB",40.747308,-73.991587,2022-05-13
"NB",40.887776,-73.907371,2022-05-13
"NB",40.887776,-73.907371,2022-05-13
"NB",40.887776,-73.907371,2022-05-13
"DM",40.857952,-73.883249,2022-05-13
"DM",40.56334,-74.121782,2022-05-13
"NB",40.691066,-73.958694,2020-06-24
"DM",40.844432,-73.830584,2022-05-17
"DM",40.85793,-73.883159,2022-05-13
"DM",40.857916,-73.883116,2022-05-13
"NB",40.673722,-73.88594,2022-08-08
"DM",40.818314,-73.895498,2022-05-13
"DM",40.818314,-73.895498,2022-05-13
"NB",40.758105,-73.941958,2022-05-13
"NB",40.758715,-73.943571,2022-05-13
"DM",40.818385,-73.895422,2022-05-13
"DM",40.818349,-73.895462,2022-05-13
"NB",40.72376,-73.844434,2022-05-13
"NB",40.72376,-73.844434,2022-05-13
"NB",40.696975,-73.805549,2022-05-13
"NB",40.874796,-73.851667,2022-05-13
"NB",40.701423,-73.936316,2022-05-13
"NB",40.701423,-73.936316,2022-05-13
"NB",40.701423,-73.936316,2022-05-13
"DM",40.876433,-73.912854,2022-09-26
"NB",40.677641,-73.894251,2022-05-13
"NB",40.700836,-73.806551,2022-05-19
"DM",40.661213,-73.933492,2022-05-13
"DM",40.818385,-73.895422,2022-05-13
"DM",40.818349,-73.895462,2022-05-13
"NB",40.764283,-73.9233,2022-08-08
"NB",40.591185,-73.794241,2022-08-08
"NB",40.764283,-73.9233,2022-08-08
"DM",40.652775,-73.947452,2022-05-18
"DM",40.652783,-73.947311,2022-05-18
"NB",40.62617,-73.99567,2020-06-24
"DM",40.652783,-73.947311,2022-05-19
"NB",40.764283,-73.9233,2022-08-08
"DM",40.782145,-73.815848,2022-08-08
"NB",40.88601,-73.905905,2022-05-15
"NB",40.680653,-73.970133,2022-05-16
"NB",40.772138,-73.92563,2024-09-13
"NB",40.729944,-73.947816,2022-05-16
"NB",40.717941,-73.982688,2022-05-16
"NB",40.784867,-73.94353,2022-05-16
"NB",40.754678,-73.934605,2022-05-16
"NB",40.666645,-73.991799,2022-05-16
"DM",40.613193,-74.035679,2020-06-23
"NB",40.848535,-73.897988,2022-05-16
"DM",40.754066,-73.977986,2022-05-16
"DM",40.754253,-73.97821,2022-05-16
"DM",40.754379,-73.978116,2022-05-16
"NB",40.888407,-73.854501,2022-05-16
"NB",40.888407,-73.854501,2022-05-16
"NB",40.825274,-73.914825,2022-05-16
"DM",40.776542,-73.949636,2022-08-08
"NB",40.704642,-73.835877,2022-05-31
"DM",40.712809,-73.813193,2022-05-16
"DM",40.712809,-73.813193,2022-05-16
"NB",40.823204,-73.894731,2022-05-16
"NB",40.657473,-73.900828,2022-05-16
"NB",40.611035,-73.77104,2022-05-16
"NB",40.606958,-73.753187,2022-05-16
"NB",40.882075,-73.897604,2022-05-16
"NB",40.882127,-73.897549,2022-05-16
"NB",40.8821,-73.897578,2022-05-16
"NB",40.882075,-73.897604,2022-05-16
"NB",40.8821,-73.897578,2022-05-16
"NB",40.882127,-73.897549,2022-05-16
"DM",40.782145,-73.815848,2022-08-08
"NB",40.814571,-73.928878,2022-05-16
"DM",40.776542,-73.949636,2022-08-08
"NB",40.649478,-74.016512,2022-05-16
"NB",40.734565,-73.960038,2022-05-16
"NB",40.590816,-73.801688,2022-05-16
"NB",40.590816,-73.801688,2022-05-16
"NB",40.5908,-73.801843,2022-05-16
"NB",40.5908,-73.801843,2022-05-16
"NB",40.5908,-73.801858,2022-05-16
"NB",40.5908,-73.801858,2022-05-16
"NB",40.754576,-73.715416,2022-05-16
"NB",40.744901,-73.925004,2022-05-16
"NB",40.718922,-73.994607,2022-05-16
"NB",40.618653,-73.950187,2022-05-16
"NB",40.813572,-73.863039,2022-05-16
"NB",40.662951,-73.763061,2022-05-16
"DM",40.709884,-73.743871,2022-08-08
"NB",40.682514,-73.960675,2022-05-11
"NB",40.702067,-73.926105,2022-05-27
"NB",40.828457,-73.906973,2022-08-08
"NB",40.505977,-74.225145,2022-08-08
"NB",40.81767,-73.910286,2022-08-08
"NB",40.688286,-73.817715,2022-05-17
"NB",40.606958,-73.753187,2022-05-17
"DM",40.818423,-73.895386,2022-05-17
"DM",40.678762,-73.798034,2022-05-17
"DM",40.709992,-73.765102,2022-05-17
"DM",40.709992,-73.765102,2022-05-17
"NB",40.728944,-73.882981,2022-05-17
"NB",40.696204,-73.926003,2022-05-17
"NB",40.698575,-73.920653,2022-05-17
"DM",40.63336,-74.15814,2022-05-17
"DM",40.63336,-74.15814,2022-05-17
"DM",40.820304,-73.928716,2022-05-17
"NB",40.748119,-73.85401,2022-05-17
"NB",40.676313,-73.897999,2022-05-17
"NB",40.676228,-73.897977,2022-05-17
"NB",40.803786,-73.912393,2022-05-17
"DM",40.743151,-73.88881,2022-06-17
"NB",40.70314,-73.950229,2022-05-17
"NB",40.787585,-73.944655,2022-05-17
"NB",40.610274,-73.753513,2022-05-17
"NB",40.610274,-73.753513,2022-05-17
"NB",40.610274,-73.753513,2022-05-17
"NB",40.876824,-73.858139,2022-05-17
"NB",40.609201,-73.753438,2022-05-17
"NB",40.609201,-73.753438,2022-05-17
"NB",40.609201,-73.753438,2022-05-17
"NB",40.876821,-73.858059,2022-05-17
"NB",40.876818,-73.85802,2022-05-17
"NB",40.882906,-73.858075,2022-05-17
"DM",40.588806,-74.108755,2022-05-17
"NB",40.530328,-74.192542,2022-05-17
"NB",40.530647,-74.191913,2022-05-17
"NB",40.760877,-73.918568,2022-05-17
"NB",40.620366,-73.979943,2022-01-06
"NB",40.620366,-73.979943,2022-01-06
"NB",40.620366,-73.979943,2022-01-06
"NB",40.620366,-73.979943,2022-01-06
"DM",40.596453,-73.965198,2022-05-17
"NB",40.596631,-73.997879,2022-05-13
"DM",40.844432,-73.830584,2022-05-17
"NB",40.800912,-73.94702,2022-05-18
"NB",40.69723,-73.81007,2022-08-08
"NB",40.701153,-73.940042,2022-05-18
"NB",40.66729,-73.992895,2022-05-18
"NB",40.706027,-73.786655,2022-05-18
"DM",40.791628,-73.826092,2022-05-18
"NB",40.699199,-73.793158,2022-05-18
"NB",40.679123,-73.882528,2022-05-18
"DM",40.657038,-73.999903,2022-05-18
"DM",40.657038,-73.999903,2022-05-18
"DM",40.657071,-73.999957,2022-05-18
"NB",40.763059,-73.791945,2022-05-18
"NB",40.699245,-73.79319,2022-05-18
"DM",40.572855,-74.100752,2022-05-18
"NB",40.75408,-73.82248,2022-05-18
"NB",40.75408,-73.82248,2022-05-18
"DM",40.73391,-73.787432,2022-05-18
"NB",40.706779,-73.94909,2022-05-18
"DM",40.619692,-73.984947,2022-05-18
"NB",40.706779,-73.94909,2022-05-18
"DM",40.658628,-73.951603,2022-05-18
"NB",40.800912,-73.94702,2022-05-18
"NB",40.690615,-73.798673,2022-05-18
"NB",40.706779,-73.94909,2022-05-18
"DM",40.778306,-73.846141,2022-05-18
"DM",40.744233,-73.914694,2022-05-18
"NB",40.69723,-73.81007,2022-08-08
"DM",40.596756,-73.774898,2022-05-18
"NB",40.712191,-73.986841,2022-05-18
"DM",40.676786,-73.892284,2022-05-18
"DM",40.676599,-73.892108,2022-05-18
"NB",40.701513,-73.947384,2022-05-18
"NB",40.701513,-73.947384,2022-05-18
"NB",40.701513,-73.947384,2022-05-18
"NB",40.872927,-73.918203,2022-05-18
"NB",40.872927,-73.918203,2022-05-18
"NB",40.872927,-73.918203,2022-05-18
"DM",40.605806,-73.754898,2022-06-06
"NB",40.675162,-73.996651,2022-05-18
"NB",40.707632,-74.013068,2022-05-18
"NB",40.675162,-73.996651,2022-05-18
"NB",40.614957,-74.073096,2022-07-11
"NB",40.791567,-73.974048,2022-05-31
"NB",40.696922,-73.948791,2022-05-18
"NB",40.587838,-74.16564,2024-09-13
"NB",40.798358,-73.93886,2022-05-18
"NB",40.642836,-73.955239,2022-05-18
"NB",40.675916,-73.932421,2022-05-18
"NB",40.734481,-73.954532,2022-05-18
"NB",40.793834,-73.938138,2022-05-18
"NB",40.675148,-73.932354,2022-05-18
"NB",40.734481,-73.954532,2022-05-18
"NB",40.579814,-73.976402,2023-05-10
"NB",40.620165,-74.002579,2022-05-18
"NB",40.758918,-73.920137,2022-05-18
"NB",40.758918,-73.920137,2022-05-18
"NB",40.758918,-73.920137,2022-05-18
"NB",40.852509,-73.903527,2022-05-18
"NB",40.734338,-73.895038,2022-05-18
"NB",40.734338,-73.895038,2022-05-18
"NB",40.852509,-73.903527,2022-05-18
"NB",40.734338,-73.895038,2022-05-18
"NB",40.734363,-73.895038,2022-05-18
"NB",40.734363,-73.895038,2022-05-18
"NB",40.734363,-73.895038,2022-05-18
"NB",40.725979,-73.872368,2022-05-18
"NB",40.725979,-73.872368,2022-05-18
"NB",40.69723,-73.81007,2022-08-08
"DM",40.869061,-73.890324,2022-05-18
"NB",40.757503,-73.914688,2022-05-18
"NB",40.757503,-73.914688,2022-05-18
"NB",40.742275,-73.917908,2022-05-18
"NB",40.742275,-73.917908,2022-05-18
"NB",40.742275,-73.917908,2022-06-01
"NB",40.620146,-74.002547,2022-05-18
"DM",40.83989,-73.920285,2022-05-18
"NB",40.645357,-73.957291,2022-05-18
"DM",40.83989,-73.920285,2022-05-18
"DM",40.636954,-74.151508,2022-05-18
"NB",40.761797,-73.813352,2022-05-18
"NB",40.612372,-74.071152,2022-05-18
"NB",40.656839,-73.897776,2022-05-18
"DM",40.67633,-73.891917,2022-05-18
"DM",40.744233,-73.914694,2022-05-18
"DM",40.636954,-74.151508,2022-05-18
"NB",40.69723,-73.81007,2022-08-08
"DM",40.560208,-73.910484,2022-05-18
"NB",40.60425,-73.971582,2022-05-18
"NB",40.697205,-73.810157,2022-08-08
"DM",40.696153,-73.946451,2022-05-23
"NB",40.847552,-73.931315,2022-05-18
"NB",40.618302,-73.981115,2022-05-18
"NB",40.697205,-73.810157,2022-08-08
"NB",40.772388,-73.931652,2022-08-08
"NB",40.513881,-74.247009,2022-08-08
"NB",40.513346,-74.246802,2022-08-08
"NB",40.632914,-73.993162,2022-05-18
"NB",40.632914,-73.993162,2022-05-18
"NB",40.714553,-73.95909,2022-05-18
"DM",40.689889,-73.979937,2022-05-18
"NB",40.676395,-73.870242,2023-05-10
"DM",40.653296,-73.946936,2022-05-18
"DM",40.653296,-73.946936,2022-05-18
"DM",40.730415,-73.951868,2022-05-18
"NB",40.573632,-74.004341,2021-04-20
"NB",40.573632,-74.004341,2021-05-12
"NB",40.573632,-74.004341,2021-05-13
"DM",40.664791,-73.75179,2022-05-18
"NB",40.573632,-74.004341,2021-09-03
"NB",40.763059,-73.791945,2022-05-18
"NB",40.63651,-73.943959,2022-05-18
"DM",40.747081,-73.939127,2022-05-18
"DM",40.747081,-73.939127,2022-05-18
"DM",40.653959,-73.86505,2022-05-18
"NB",40.821971,-73.913781,2022-06-15
"DM",40.678528,-73.958745,2022-05-18
"DM",40.633292,-73.941886,2022-05-18
"DM",40.678528,-73.958745,2022-05-18
"DM",40.678176,-73.958301,2022-05-18
"DM",40.676972,-73.922322,2022-05-18
"DM",40.676977,-73.888458,2022-05-18
"DM",40.659549,-73.948318,2022-05-18
"DM",40.668665,-73.928813,2022-05-18
"DM",40.676737,-73.88763,2022-05-18
"DM",40.676737,-73.88763,2022-05-18
"NB",40.697205,-73.810157,2022-08-08
"NB",40.872927,-73.918203,2022-05-18
"NB",40.814899,-73.954469,2022-05-24
"NB",40.697205,-73.810157,2022-08-08
"NB",40.513253,-74.246712,2022-08-08
"NB",40.591185,-73.794241,2022-08-08
"NB",40.791567,-73.974048,2022-08-08
"NB",40.852509,-73.903527,2022-05-19
"NB",40.852509,-73.903527,2022-05-19
"DM",40.730415,-73.951868,2022-05-19
"DM",40.689889,-73.979937,2022-05-19
"NB",40.880731,-73.83426,2022-05-19
"NB",40.821265,-73.847404,2022-05-19
"NB",40.763691,-73.924004,2022-05-19
"DM",40.684076,-73.875701,2023-05-10
"NB",40.853075,-73.891894,2022-05-19
"NB",40.853075,-73.891894,2022-05-19
"NB",40.853075,-73.891894,2022-05-19
"NB",40.72265,-73.824566,2022-05-19
"NB",40.72265,-73.824566,2022-05-19
"NB",40.72265,-73.824566,2022-05-19
"DM",40.762042,-73.938366,2022-05-19
"DM",40.762753,-73.93869,2022-05-19
"DM",40.709487,-73.7934,2022-05-19
"NB",40.712869,-73.949161,2022-05-19
"DM",40.709487,-73.7934,2022-05-19
"DM",40.729559,-73.917794,2022-05-19
"NB",40.713777,-73.936589,2022-05-19
"DM",40.729559,-73.917794,2022-05-19
"NB",40.713777,-73.936589,2022-05-19
"DM",40.723656,-73.781948,2022-05-19
"NB",40.74597,-73.95303,2022-05-19
"DM",40.857159,-73.907233,2022-05-19
"NB",40.761443,-73.724137,2022-05-19
"NB",40.687909,-73.788246,2022-05-19
"DM",40.762753,-73.93869,2022-05-19
"NB",40.687898,-73.78822,2022-05-19
"NB",40.753327,-73.832689,2022-05-19
"NB",40.760931,-73.863237,2022-05-19
"NB",40.70414,-73.79351,2022-05-19
"NB",40.758518,-73.807055,2022-05-19
"NB",40.758518,-73.807055,2022-05-19
"NB",40.754947,-73.999982,2022-05-19
"NB",40.737992,-73.879313,2022-07-01
"NB",40.698514,-73.8083,2022-05-19
"NB",40.637658,-74.168217,2022-05-19
"NB",40.745917,-73.897174,2022-05-19
"DM",40.762042,-73.938366,2022-05-19
"NB",40.713777,-73.936589,2022-05-19
"NB",40.661788,-73.946979,2022-05-19
"NB",40.849361,-73.910872,2022-05-19
"DM",40.695772,-73.95639,2022-05-19
"NB",40.838032,-73.818306,2022-05-19
"NB",40.791164,-73.838961,2020-12-22
"NB",40.791164,-73.838961,2020-12-22
"NB",40.791164,-73.838961,2020-12-22
"NB",40.697476,-73.936111,2022-05-19
"NB",40.773155,-73.923373,2022-05-19
"DM",40.709487,-73.7934,2022-05-19
"DM",40.827317,-73.915986,2022-05-19
"DM",40.684076,-73.875701,2023-05-10
"DM",40.768126,-73.931693,2022-05-19
"DM",40.743499,-73.95808,2022-05-10
"DM",40.864107,-73.916771,2022-05-20
"DM",40.5783,-73.948417,2022-08-08
"DM",40.5783,-73.948417,2022-08-08
"NB",40.618212,-74.085058,2022-08-08
"NB",40.81971,-73.911689,2022-05-20
"NB",40.866692,-73.884597,2022-05-20
"NB",40.748365,-73.944557,2022-05-20
"NB",40.742767,-73.982765,2022-05-20
"NB",40.535003,-74.204956,2022-05-20
"NB",40.813978,-73.920724,2022-05-20
"NB",40.534975,-74.205057,2022-05-20
"NB",40.748365,-73.944557,2022-05-20
"NB",40.748365,-73.944557,2022-05-20
"NB",40.763691,-73.924004,2022-05-20
"NB",40.71437,-73.986577,2022-05-20
"NB",40.733089,-73.954219,2022-05-20
"NB",40.71695,-73.987158,2022-05-20
"DM",40.847408,-73.827222,2022-05-20
"DM",40.847408,-73.827222,2022-05-20
"NB",40.771542,-73.934057,2022-05-20
"NB",40.704122,-73.949333,2022-05-20
"NB",40.751837,-73.83296,2022-05-20
"NB",40.704122,-73.949333,2022-05-20
"NB",40.80178,-73.949873,2022-05-20
"NB",40.688669,-73.991317,2022-05-20
"NB",40.760532,-73.862401,2022-05-20
"NB",40.760907,-73.863125,2022-05-20
"NB",40.595514,-73.994502,2022-05-20
"DM",40.803902,-73.920534,2022-05-20
"DM",40.803902,-73.920534,2022-05-20
"NB",40.732903,-73.956001,2022-05-20
"DM",40.869459,-73.893154,2022-05-20
"NB",40.552538,-74.217486,2022-05-20
"DM",40.864107,-73.916771,2022-05-20
"NB",40.797129,-73.945972,2022-05-20
"NB",40.667236,-73.959754,2022-05-20
"NB",40.667236,-73.959754,2022-05-20
"DM",40.573939,-74.125746,2022-05-20
"NB",40.74248,-73.820468,2022-05-20
"NB",40.879381,-73.908648,2022-08-08
"DM",40.573939,-74.125746,2022-05-20
"DM",40.615881,-74.088812,2022-05-20
"NB",40.762772,-73.794213,2020-12-11
"NB",40.72376,-73.844434,2022-05-20
"NB",40.72376,-73.844434,2022-05-20
"NB",40.72376,-73.844434,2022-05-20
"NB",40.506126,-74.224559,2020-06-23
"NB",40.593289,-74.188777,2022-05-20
"NB",40.593278,-74.188759,2022-05-20
"NB",40.818565,-73.918118,2022-05-20
"NB",40.815033,-73.911392,2022-05-20
"NB",40.807149,-73.929969,2020-06-30
"NB",40.807149,-73.929969,2020-06-30
"NB",40.807149,-73.929969,2020-07-01
"NB",40.807149,-73.929969,2020-07-01
"NB",40.807149,-73.929969,2021-02-10
"NB",40.807149,-73.929969,2021-03-10
"NB",40.807149,-73.929969,2021-06-16
"NB",40.807149,-73.929969,2021-06-16
"NB",40.807149,-73.929969,2021-06-16
"NB",40.807149,-73.929969,2022-02-08
"NB",40.807149,-73.929969,2022-03-25
"NB",40.755884,-73.836104,2022-05-10
"DM",40.864086,-73.918004,2022-05-20
"NB",40.827501,-73.944123,2022-08-08
"NB",40.827501,-73.944123,2022-08-08
"NB",40.827501,-73.944123,2022-08-08
"NB",40.827501,-73.944123,2022-08-08
"NB",40.751691,-73.881833,2022-05-21
"NB",40.575527,-74.12981,2022-05-21
"NB",40.688931,-73.821593,2022-05-21
"NB",40.688929,-73.821608,2022-05-21
"NB",40.688929,-73.821608,2022-05-21
"DM",40.683867,-73.875647,2023-05-10
"NB",40.688931,-73.821593,2022-05-21
"NB",40.727137,-73.93807,2022-05-23
"NB",40.867886,-73.866481,2022-05-23
"NB",40.867886,-73.866416,2022-05-23
"NB",40.84159,-73.8851,2022-05-23
"NB",40.855034,-73.883074,2022-05-23
"DM",40.644042,-73.950752,2022-05-23
"NB",40.697272,-73.97745,2022-05-23
"DM",40.683936,-73.875665,2023-05-10
"NB",40.639017,-74.020307,2022-05-23
"NB",40.818016,-73.888797,2022-05-23
"NB",40.698858,-73.944087,2022-05-23
"NB",40.744468,-73.903348,2022-05-23
"DM",40.68404,-73.875694,2023-05-10
"NB",40.756129,-73.859569,2022-05-23
"NB",40.82307,-73.914947,2022-05-23
"NB",40.738648,-73.993945,2022-05-23
"NB",40.87625,-73.900003,2022-05-23
"NB",40.656064,-73.912958,2022-05-23
